trans_id;account_id;date;type;operation;amount;balance;k_symbol;bank;account
1548750;5270;930114;PRIJEM;PREVOD Z UCTU;44749.0;45549.0;;IJ;80269753.0
506836;1731;930114;PRIJEM;VKLAD;200.0;200.0;;;
3393738;11265;930114;PRIJEM;VKLAD;1000.0;1000.0;;;
621775;2122;930115;PRIJEM;VKLAD;46552.0;46852.0;;;
737258;2519;930115;PRIJEM;VKLAD;500.0;500.0;;;
144549;485;930116;PRIJEM;VKLAD;13156.0;13456.0;;;
435762;1481;930117;PRIJEM;VKLAD;1000.0;1000.0;;;
1027726;3510;930117;PRIJEM;VKLAD;23323.0;23823.0;;;
3122924;10364;930117;PRIJEM;VKLAD;1100.0;1100.0;;;
1176385;4034;930118;PRIJEM;VKLAD;200.0;200.0;;;
119435;401;930118;PRIJEM;VKLAD;300.0;300.0;;;
1100767;3760;930118;PRIJEM;VKLAD;10792.0;11792.0;;;
682546;2330;930119;PRIJEM;VKLAD;200.0;200.0;;;
529772;1806;930119;PRIJEM;VKLAD;400.0;400.0;;;
1121963;3834;930119;PRIJEM;VKLAD;700.0;700.0;;;
359511;1222;930120;PRIJEM;VKLAD;700.0;700.0;;;
63712;212;930120;PRIJEM;VKLAD;200.0;200.0;;;
695250;2378;930122;PRIJEM;VKLAD;7268.0;7968.0;;;
615548;2099;930122;PRIJEM;VKLAD;16125.0;17225.0;;;
695266;2378;930123;PRIJEM;VKLAD;14440.0;22408.0;;;
695262;2378;930124;PRIJEM;VKLAD;49752.0;72160.0;;;
615547;2099;930124;PRIJEM;VKLAD;36518.0;53743.0;;;
695265;2378;930126;PRIJEM;VKLAD;21899.0;94059.0;;;
144551;485;930126;PRIJEM;VKLAD;12336.0;25792.0;;;
393512;1338;930129;PRIJEM;VKLAD;38000.0;38400.0;;;
612405;2087;930129;PRIJEM;VKLAD;16983.0;17583.0;;;
695560;2378;930131;VYDAJ;VYBER;34700.0;59453.7;;;
3591421;1844;930131;PRIJEM;;12.6;3754.6;UROK;;
3617490;2632;930131;PRIJEM;;47.5;15411.5;UROK;;
3579543;1493;930131;PRIJEM;;13.3;5222.3;UROK;;
3558798;866;930131;PRIJEM;;37.1;13181.1;UROK;;
3513134;9635;930131;PRIJEM;;11.1;4892.9;UROK;;
3574567;1338;930131;PRIJEM;;15.5;38415.5;UROK;;
3654666;3760;930131;PRIJEM;;22.2;11814.2;UROK;;
3656579;3818;930131;PRIJEM;;55.8;18021.8;UROK;;
3456844;9635;930131;PRIJEM;;11.8;4881.8;UROK;;
3553661;704;930131;PRIJEM;;50.1;18527.1;UROK;;
3552056;652;930131;PRIJEM;;45.0;14596.0;UROK;;
3583848;1628;930131;PRIJEM;;13.4;4989.4;UROK;;
3584201;1637;930131;PRIJEM;;15.9;6233.9;UROK;;
3586191;1695;930131;PRIJEM;;38.8;12070.8;UROK;;
3587145;1726;930131;PRIJEM;;38.2;15005.2;UROK;;
3549613;576;930131;PRIJEM;;20.1;7127.1;UROK;;
3546683;485;930131;PRIJEM;;38.9;25830.9;UROK;;
3599467;2087;930131;PRIJEM;;7.1;17590.1;UROK;;
3600403;2122;930131;PRIJEM;;107.1;46959.1;UROK;;
3466049;3510;930131;PRIJEM;;48.0;23871.0;UROK;;
3444292;2099;930131;PRIJEM;;62.4;53805.4;UROK;;
207642;704;930131;PRIJEM;VKLAD;2900.0;21427.1;;;
3602138;2177;930131;PRIJEM;;21.5;5944.5;UROK;;
3595783;1972;930131;PRIJEM;;19.1;5717.1;UROK;;
3594124;1926;930131;PRIJEM;;14.0;5221.0;UROK;;
3648651;3592;930131;PRIJEM;;19.5;6626.5;UROK;;
3645341;3487;930131;PRIJEM;;42.7;16756.7;UROK;;
3556397;793;930131;PRIJEM;;15.2;4216.2;UROK;;
3608592;2378;930131;PRIJEM;;94.7;94153.7;UROK;;
3607855;2357;930131;PRIJEM;;19.4;7253.4;UROK;;
3609127;2393;930131;PRIJEM;;28.2;11665.1;UROK;;
3612139;2484;930131;PRIJEM;;42.7;15921.7;UROK;;
3669814;5270;930131;PRIJEM;;110.2;45659.2;UROK;;
3572388;1276;930131;PRIJEM;;23.1;7197.1;UROK;;
3627125;2925;930131;PRIJEM;;20.0;7466.0;UROK;;
3625747;2881;930131;PRIJEM;;19.6;7678.6;UROK;;
1117691;3818;930131;PRIJEM;VKLAD;2000.0;20021.8;;;
771484;2632;930201;PRIJEM;VKLAD;5100.0;20511.5;;;
453138;1539;930202;PRIJEM;VKLAD;11900.0;12500.0;;;
726266;2484;930202;PRIJEM;VKLAD;5500.0;21421.7;;;
497553;1695;930202;PRIJEM;VKLAD;7500.0;19570.8;;;
505750;1726;930202;PRIJEM;VKLAD;6000.0;21005.2;;;
145127;485;930203;VYDAJ;VYBER;25300.0;46177.9;;;
144544;485;930203;PRIJEM;VKLAD;45647.0;71477.9;;;
846309;2881;930203;PRIJEM;VKLAD;7000.0;14678.5;;;
192366;652;930204;PRIJEM;VKLAD;2900.0;17496.0;;;
695272;2378;930205;PRIJEM;VKLAD;30192.0;89645.7;;;
637743;2177;930205;PRIJEM;PREVOD Z UCTU;5123.0;11067.5;DUCHOD;YZ;62457513.0
566013;1926;930205;PRIJEM;VKLAD;8500.0;13721.0;;;
560900;1909;930205;PRIJEM;PREVOD Z UCTU;3191.0;3991.0;;AB;24230474.0
110536;374;930205;PRIJEM;PREVOD Z UCTU;23041.0;23441.0;;WX;4004806.0
498391;1699;930205;PRIJEM;PREVOD Z UCTU;5224.0;6024.0;DUCHOD;CD;94008880.0
529774;1806;930205;PRIJEM;PREVOD Z UCTU;5029.0;5429.0;DUCHOD;UV;39912659.0
224344;764;930205;PRIJEM;PREVOD Z UCTU;6238.0;7338.0;DUCHOD;UV;30560720.0
232962;793;930205;PRIJEM;PREVOD Z UCTU;3401.0;7617.2;;IJ;6149286.0
3393740;11265;930205;PRIJEM;VKLAD;7618.0;8618.0;;;
101388;346;930205;PRIJEM;VKLAD;19935.0;20735.0;;;
119437;401;930206;PRIJEM;VKLAD;12817.0;13117.0;;;
1100775;3760;930206;PRIJEM;VKLAD;38645.0;50459.2;;;
1028004;3510;930206;VYDAJ;VYBER;1600.0;22271.0;;;
375032;1276;930206;PRIJEM;VKLAD;10600.0;17797.1;;;
57435;192;930206;PRIJEM;PREVOD Z UCTU;5859.0;6159.0;DUCHOD;GH;15384018.0
699588;2393;930206;PRIJEM;VKLAD;5500.0;17165.2;;;
1132664;3871;930206;PRIJEM;PREVOD Z UCTU;4356.0;4656.0;DUCHOD;GH;31564527.0
506452;1730;930206;PRIJEM;PREVOD Z UCTU;6689.0;7589.0;DUCHOD;ST;43294817.0
695340;2378;930207;VYDAJ;PREVOD NA UCET;9612.0;80033.7;SIPO;EF;1222903.0
1176387;4034;930207;PRIJEM;VKLAD;5080.0;5280.0;;;
129504;435;930207;PRIJEM;PREVOD Z UCTU;5039.0;5439.0;DUCHOD;MN;22131634.0
542217;1844;930207;PRIJEM;PREVOD Z UCTU;3242.0;6996.6;;ST;42988401.0
682548;2330;930207;PRIJEM;PREVOD Z UCTU;3395.0;3595.0;;ST;18759459.0
579375;1972;930207;PRIJEM;PREVOD Z UCTU;5298.0;11015.1;DUCHOD;UV;14132887.0
3122926;10364;930207;PRIJEM;VKLAD;14493.0;15593.0;;;
615550;2099;930207;PRIJEM;VKLAD;28157.0;81962.4;;;
612713;2087;930207;PRIJEM;VKLAD;1800.0;19390.1;;;
737260;2519;930207;PRIJEM;PREVOD Z UCTU;5544.0;6044.0;DUCHOD;GH;5454445.0
622121;2122;930207;VYDAJ;VYBER;14100.0;32859.1;;;
1021463;3487;930207;PRIJEM;VKLAD;1800.0;18556.7;;;
144559;485;930208;PRIJEM;VKLAD;20066.0;66243.9;;;
374591;1276;930208;PRIJEM;VKLAD;6774.0;24571.1;;;
110785;374;930208;VYDAJ;VYBER;1500.0;21941.0;;;
696164;2379;930209;PRIJEM;VKLAD;13900.0;14700.0;;;
858265;2925;930209;PRIJEM;VKLAD;9100.0;16566.0;;;
858386;2926;930209;PRIJEM;VKLAD;10584.0;11184.0;;;
63714;212;930209;PRIJEM;PREVOD Z UCTU;49590.0;49790.0;;IJ;58325630.0
581701;1979;930209;PRIJEM;PREVOD Z UCTU;3021.0;3921.0;;UV;38265723.0
771037;2632;930209;PRIJEM;VKLAD;14264.0;34775.5;;;
253162;866;930209;PRIJEM;VKLAD;5400.0;18581.1;;;
192098;652;930209;PRIJEM;VKLAD;13851.0;31347.0;;;
1117249;3818;930209;PRIJEM;VKLAD;17366.0;37387.8;;;
695722;2379;930210;PRIJEM;VKLAD;5072.0;19772.0;;;
393999;1338;930210;VYDAJ;VYBER;5200.0;33215.5;;;
1049883;3592;930210;PRIJEM;PREVOD Z UCTU;6007.0;12633.5;DUCHOD;MN;73166322.0
101684;346;930210;PRIJEM;VKLAD;1200.0;21935.0;;;
695270;2378;930211;PRIJEM;VKLAD;31038.0;111071.7;;;
695561;2378;930211;VYDAJ;VYBER;25200.0;85871.7;;;
452734;1539;930211;PRIJEM;VKLAD;43737.0;56237.0;;;
171814;576;930211;PRIJEM;PREVOD Z UCTU;6207.0;13334.1;DUCHOD;YZ;30300313.0
615783;2099;930211;VYDAJ;VYBER;29700.0;52262.4;;;
612412;2087;930211;PRIJEM;VKLAD;14622.0;34012.1;;;
506838;1731;930211;PRIJEM;PREVOD Z UCTU;4758.0;4958.0;DUCHOD;GH;89825009.0
252646;866;930211;PRIJEM;VKLAD;12644.0;31225.1;;;
359513;1222;930212;PRIJEM;PREVOD Z UCTU;6310.0;7010.0;DUCHOD;KL;77489798.0
1101121;3760;930212;VYDAJ;VYBER;14400.0;36059.2;;;
689829;2357;930212;PRIJEM;PREVOD Z UCTU;6434.0;13687.4;DUCHOD;OP;34144538.0
725753;2484;930212;PRIJEM;VKLAD;14779.0;36200.7;;;
565656;1926;930212;PRIJEM;VKLAD;4507.0;18228.0;;;
857975;2925;930212;PRIJEM;VKLAD;6446.0;23012.0;;;
207266;704;930212;PRIJEM;VKLAD;17477.0;38904.1;;;
477640;1628;930212;PRIJEM;PREVOD Z UCTU;4276.0;9265.4;DUCHOD;UV;15916598.0
1549098;5270;930212;VYDAJ;VYBER;9600.0;36059.2;;;
1121965;3834;930212;PRIJEM;VKLAD;13875.0;14575.0;;;
439037;1493;930213;PRIJEM;PREVOD Z UCTU;5009.0;10231.3;DUCHOD;AB;54522466.0
435764;1481;930213;PRIJEM;PREVOD Z UCTU;3098.0;4098.0;;AB;21098941.0
858901;2926;930213;PRIJEM;VKLAD;9000.0;20184.0;;;
480216;1637;930213;PRIJEM;PREVOD Z UCTU;5718.0;11951.9;DUCHOD;UV;45134812.0
1143204;3909;930213;VYDAJ;VYBER;500.0;24600.0;;;
1142760;3909;930213;PRIJEM;VKLAD;24400.0;25100.0;;;
505242;1726;930213;PRIJEM;VKLAD;13967.0;34972.2;;;
846008;2881;930213;PRIJEM;VKLAD;6959.0;21637.5;;;
1021122;3487;930213;PRIJEM;VKLAD;15914.0;34470.7;;;
3394148;11265;930213;PRIJEM;VKLAD;9800.0;18418.0;;;
2908690;9635;930214;PRIJEM;PREVOD Z UCTU;4470.0;9362.9;DUCHOD;CD;37906074.0
699222;2393;930214;PRIJEM;VKLAD;10737.0;27902.2;;;
1548751;5270;930214;PRIJEM;PREVOD Z UCTU;44749.0;80808.2;;IJ;80269753.0
3123297;10364;930216;PRIJEM;VKLAD;4200.0;19793.0;;;
1176616;4034;930217;PRIJEM;VKLAD;8000.0;13280.0;;;
119791;401;930217;PRIJEM;VKLAD;6000.0;19117.0;;;
1122555;3834;930218;PRIJEM;VKLAD;6600.0;21175.0;;;
64021;212;930219;VYDAJ;VYBER;14800.0;34990.0;;;
695251;2378;930220;PRIJEM;VKLAD;19136.0;105007.7;;;
695562;2378;930220;VYDAJ;VYBER;33900.0;71107.7;;;
695490;2378;930228;VYDAJ;VYBER;14.6;71437.8;SLUZBY;;
3591422;1844;930228;PRIJEM;;15.6;7012.2;UROK;;
3617491;2632;930228;PRIJEM;;121.8;34897.3;UROK;;
3579544;1493;930228;PRIJEM;;21.7;10253.0;UROK;;
3558799;866;930228;PRIJEM;;103.2;31328.3;UROK;;
3520588;10364;930228;PRIJEM;;38.3;19831.3;UROK;;
3574568;1338;930228;PRIJEM;;160.0;33375.5;UROK;;
3654667;3760;930228;PRIJEM;;110.5;36169.7;UROK;;
3659415;3909;930228;PRIJEM;;58.6;24658.6;UROK;;
3656580;3818;930228;PRIJEM;;83.4;37471.2;UROK;;
3657066;3834;930228;PRIJEM;;34.7;21209.7;UROK;;
3460368;374;930228;PRIJEM;;68.6;22009.6;UROK;;
3456845;9635;930228;PRIJEM;;20.3;9383.2;UROK;;
3553662;704;930228;PRIJEM;;89.3;38993.3;UROK;;
3552057;652;930228;PRIJEM;;110.6;31457.6;UROK;;
3583849;1628;930228;PRIJEM;;20.7;9286.1;UROK;;
3584202;1637;930228;PRIJEM;;25.9;11977.8;UROK;;
3586192;1695;930228;PRIJEM;;50.1;19620.9;UROK;;
3587146;1726;930228;PRIJEM;;110.0;35082.2;UROK;;
3449863;4034;930228;PRIJEM;;23.7;13303.7;UROK;;
3546684;485;930228;PRIJEM;;249.0;66492.9;UROK;;
3549614;576;930228;PRIJEM;;29.6;13363.7;UROK;;
3599468;2087;930228;PRIJEM;;117.3;34129.3;UROK;;
3600404;2122;930228;PRIJEM;;199.0;72343.0;UROK;;
3466050;3510;930228;PRIJEM;;99.3;22370.3;UROK;;
3447022;1539;930228;PRIJEM;;150.6;56387.6;UROK;;
3444293;2099;930228;PRIJEM;;220.0;52482.4;UROK;;
3602139;2177;930228;PRIJEM;;24.7;11092.2;UROK;;
3542018;346;930228;PRIJEM;;62.0;21997.0;UROK;;
621768;2122;930228;PRIJEM;VKLAD;39285.0;72144.1;;;
3594125;1926;930228;PRIJEM;;54.6;18282.6;UROK;;
3595784;1972;930228;PRIJEM;;23.7;11038.9;UROK;;
3648652;3592;930228;PRIJEM;;27.5;12661.0;UROK;;
3645342;3487;930228;PRIJEM;;111.9;34582.6;UROK;;
3556398;793;930228;PRIJEM;;17.5;7634.7;UROK;;
3537488;212;930228;PRIJEM;;52.1;35042.1;UROK;;
3607856;2357;930228;PRIJEM;;30.1;13717.6;UROK;;
3608593;2378;930228;PRIJEM;;344.8;71452.4;UROK;;
3609128;2393;930228;PRIJEM;;84.8;27986.9;UROK;;
3608664;2379;930228;PRIJEM;;55.9;19827.9;UROK;;
3612140;2484;930228;PRIJEM;;117.6;36318.3;UROK;;
3669815;5270;930228;PRIJEM;;268.5;81076.7;UROK;;
3543739;401;930228;PRIJEM;;34.1;19151.1;UROK;;
3572389;1276;930228;PRIJEM;;84.3;24655.4;UROK;;
3528743;11265;930228;PRIJEM;;43.9;18461.8;UROK;;
3627126;2925;930228;PRIJEM;;70.4;23082.4;UROK;;
3625748;2881;930228;PRIJEM;;65.2;21702.7;UROK;;
3627197;2926;930228;PRIJEM;;48.1;20232.0;UROK;;
695563;2378;930302;VYDAJ;VYBER;21400.0;50037.8;;;
207643;704;930302;VYDAJ;VYBER;8900.0;30093.3;;;
1117692;3818;930302;VYDAJ;VYBER;4200.0;33271.2;;;
695254;2378;930303;PRIJEM;VKLAD;7077.0;57114.8;;;
771485;2632;930303;VYDAJ;VYBER;6900.0;27997.3;;;
615551;2099;930303;PRIJEM;VKLAD;30557.0;83039.4;;;
453139;1539;930304;VYDAJ;VYBER;13400.0;42987.6;;;
145022;485;930304;VYDAJ;VYBER;8100.0;76843.9;;;
144543;485;930304;PRIJEM;VKLAD;18451.0;84943.9;;;
726267;2484;930304;VYDAJ;VYBER;8100.0;28218.3;;;
497554;1695;930304;PRIJEM;VKLAD;5200.0;24820.9;;;
505751;1726;930304;VYDAJ;VYBER;3200.0;31882.2;;;
145128;485;930305;VYDAJ;VYBER;25300.0;51543.9;;;
637744;2177;930305;PRIJEM;PREVOD Z UCTU;5123.0;16215.2;DUCHOD;YZ;62457513.0
560901;1909;930305;PRIJEM;PREVOD Z UCTU;3191.0;7182.0;;AB;24230474.0
110537;374;930305;PRIJEM;PREVOD Z UCTU;23041.0;45050.6;;WX;4004806.0
498392;1699;930305;PRIJEM;PREVOD Z UCTU;5224.0;11248.0;DUCHOD;CD;94008880.0
529775;1806;930305;PRIJEM;PREVOD Z UCTU;5029.0;10458.0;DUCHOD;UV;39912659.0
224345;764;930305;PRIJEM;PREVOD Z UCTU;6238.0;13576.0;DUCHOD;UV;30560720.0
232963;793;930305;PRIJEM;PREVOD Z UCTU;3401.0;11035.7;;IJ;6149286.0
846310;2881;930305;PRIJEM;VKLAD;2700.0;24402.7;;;
3393741;11265;930305;PRIJEM;VKLAD;7618.0;26079.8;;;
101389;346;930305;PRIJEM;VKLAD;19935.0;41932.0;;;
144776;485;930306;VYDAJ;PREVOD NA UCET;1591.0;49952.9; ;WX;56978738.0
119438;401;930306;PRIJEM;VKLAD;12817.0;31968.1;;;
57436;192;930306;PRIJEM;PREVOD Z UCTU;5859.0;12018.0;DUCHOD;GH;15384018.0
621772;2122;930306;PRIJEM;VKLAD;7597.0;79940.0;;;
1132665;3871;930306;PRIJEM;PREVOD Z UCTU;4356.0;9012.0;DUCHOD;GH;31564527.0
506453;1730;930306;PRIJEM;PREVOD Z UCTU;6689.0;14278.0;DUCHOD;ST;43294817.0
192367;652;930306;VYDAJ;VYBER;4800.0;26657.6;;;
695341;2378;930307;VYDAJ;PREVOD NA UCET;9612.0;47502.8;SIPO;EF;1222903.0
1176388;4034;930307;PRIJEM;VKLAD;5080.0;18383.7;;;
144848;485;930307;VYDAJ;PREVOD NA UCET;3572.0;46380.9;POJISTNE;AB;20747721.0
129505;435;930307;PRIJEM;PREVOD Z UCTU;5039.0;10478.0;DUCHOD;MN;22131634.0
542218;1844;930307;PRIJEM;PREVOD Z UCTU;3242.0;10254.2;;ST;42988401.0
682549;2330;930307;PRIJEM;PREVOD Z UCTU;3395.0;6990.0;;ST;18759459.0
566014;1926;930307;PRIJEM;VKLAD;3900.0;22182.6;;;
579376;1972;930307;PRIJEM;PREVOD Z UCTU;5298.0;16336.9;DUCHOD;UV;14132887.0
3122927;10364;930307;PRIJEM;VKLAD;14493.0;34324.3;;;
737261;2519;930307;PRIJEM;PREVOD Z UCTU;5544.0;11588.0;DUCHOD;GH;5454445.0
144704;485;930308;VYDAJ;PREVOD NA UCET;7421.0;38959.9;SIPO;EF;89687889.0
1028005;3510;930308;VYDAJ;VYBER;300.0;22070.3;;;
374592;1276;930308;PRIJEM;VKLAD;6774.0;31429.4;;;
375033;1276;930308;VYDAJ;VYBER;2200.0;29229.4;;;
699589;2393;930308;VYDAJ;VYBER;2500.0;25486.9;;;
858387;2926;930309;PRIJEM;VKLAD;10584.0;30816.0;;;
63715;212;930309;PRIJEM;PREVOD Z UCTU;49590.0;84632.1;;IJ;58325630.0
581702;1979;930309;PRIJEM;PREVOD Z UCTU;3021.0;6942.0;;UV;38265723.0
771038;2632;930309;PRIJEM;VKLAD;14264.0;42261.3;;;
612714;2087;930309;VYDAJ;VYBER;6500.0;27629.3;;;
622122;2122;930309;VYDAJ;VYBER;28500.0;51440.0;;;
192099;652;930309;PRIJEM;VKLAD;13851.0;40508.6;;;
1021464;3487;930309;VYDAJ;VYBER;3800.0;30782.6;;;
1117250;3818;930309;PRIJEM;VKLAD;17366.0;50637.2;;;
695723;2379;930310;PRIJEM;VKLAD;5072.0;24899.9;;;
110786;374;930310;VYDAJ;VYBER;11900.0;33150.6;;;
1049884;3592;930310;PRIJEM;PREVOD Z UCTU;6007.0;18668.0;DUCHOD;MN;73166322.0
696165;2379;930311;VYDAJ;VYBER;2600.0;22299.9;;;
858266;2925;930311;VYDAJ;VYBER;1900.0;21182.4;;;
171815;576;930311;PRIJEM;PREVOD Z UCTU;6207.0;19570.7;DUCHOD;YZ;30300313.0
506839;1731;930311;PRIJEM;PREVOD Z UCTU;4758.0;9716.0;DUCHOD;GH;89825009.0
253163;866;930311;VYDAJ;VYBER;8400.0;35572.3;;;
252647;866;930311;PRIJEM;VKLAD;12644.0;43972.3;;;
394000;1338;930312;VYDAJ;VYBER;2400.0;30975.5;;;
359514;1222;930312;PRIJEM;PREVOD Z UCTU;6310.0;13320.0;DUCHOD;KL;77489798.0
689830;2357;930312;PRIJEM;PREVOD Z UCTU;6434.0;20151.6;DUCHOD;OP;34144538.0
725754;2484;930312;PRIJEM;VKLAD;14779.0;42997.3;;;
565657;1926;930312;PRIJEM;VKLAD;4507.0;26689.6;;;
857976;2925;930312;PRIJEM;VKLAD;6446.0;27628.4;;;
207267;704;930312;PRIJEM;VKLAD;17477.0;47570.3;;;
477641;1628;930312;PRIJEM;PREVOD Z UCTU;4276.0;13562.1;DUCHOD;UV;15916598.0
1121966;3834;930312;PRIJEM;VKLAD;13875.0;35084.7;;;
101685;346;930312;VYDAJ;VYBER;7900.0;34032.0;;;
439038;1493;930313;PRIJEM;PREVOD Z UCTU;5009.0;15262.0;DUCHOD;AB;54522466.0
435765;1481;930313;PRIJEM;PREVOD Z UCTU;3098.0;7196.0;;AB;21098941.0
615784;2099;930313;VYDAJ;VYBER;27200.0;55839.4;;;
480217;1637;930313;PRIJEM;PREVOD Z UCTU;5718.0;17695.8;DUCHOD;UV;45134812.0
1142761;3909;930313;PRIJEM;VKLAD;24400.0;49058.6;;;
505243;1726;930313;PRIJEM;VKLAD;13967.0;45849.2;;;
846009;2881;930313;PRIJEM;VKLAD;6959.0;31361.7;;;
1021123;3487;930313;PRIJEM;VKLAD;15914.0;46696.6;;;
2908691;9635;930314;PRIJEM;PREVOD Z UCTU;4470.0;13853.2;DUCHOD;CD;37906074.0
1101122;3760;930314;VYDAJ;VYBER;5200.0;30969.7;;;
699223;2393;930314;PRIJEM;VKLAD;10737.0;36223.9;;;
1548752;5270;930314;PRIJEM;PREVOD Z UCTU;44749.0;125825.7;;IJ;80269753.0
1549099;5270;930314;VYDAJ;VYBER;51700.0;74125.7;;;
1549100;5270;930314;VYDAJ;VYBER;25300.0;48825.7;;;
144557;485;930315;PRIJEM;VKLAD;5697.0;44656.9;;;
1100766;3760;930315;PRIJEM;VKLAD;10539.0;41508.7;;;
858902;2926;930315;VYDAJ;VYBER;4900.0;25916.0;;;
1143205;3909;930315;VYDAJ;VYBER;13900.0;35158.6;;;
3394149;11265;930315;VYDAJ;VYBER;800.0;25279.8;;;
